ATRNOMECIDADE,ATRSIGLAESTADO,ATRDATAINICIO,ATRDATAFINAL,ATRDOMINGO,ATRSEGUNDA,ATRTERCA,ATRQUARTA,ATRQUINTA,ATRSEXTA,ATRSABADO
São Paulo,SP,20211201,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200318,20211130,S,S,S,S,S,S,S
São Paulo,SP,20220830,99991231,S,S,S,S,S,S,S
São Paulo,SP,20220411,20220423,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220410,S,S,S,S,S,S,S
São Paulo,SP,20210501,20211231,S,S,S,S,S,S,S
Diadema,SP,20200320,20200504,S,S,S,S,S,S,S
Guarulhos,SP,20200324,20200708,S,S,S,S,S,S,S
Diadema,SP,20200318,20200708,S,S,S,S,S,S,S
Mogi das Cruzes,SP,20200320,20201006,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200714,S,S,S,S,S,S,S
Campinas,SP,20200320,20200708,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200713,S,S,S,S,S,S,S
São Paulo,SP,20220709,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200316,20220630,S,S,S,S,S,S,S
Campinas,SP,20210701,20210801,S,S,S,S,S,S,S
Campinas,SP,20210802,20230118,S,S,S,S,S,S,S
Campinas,SP,20201230,20201230,S,S,S,S,S,S,S
Campinas,SP,20201229,20201229,S,S,S,S,S,S,S
Campinas,SP,20201228,20201228,S,S,S,S,S,S,S
Campinas,SP,20201223,20201223,S,S,S,S,S,S,S
Campinas,SP,20201222,20201222,S,S,S,S,S,S,S
Campinas,SP,20201221,20201221,S,S,S,S,S,S,S
Campinas,SP,20201218,20201218,S,S,S,S,S,S,S
Campinas,SP,20201217,20201217,S,S,S,S,S,S,S
Campinas,SP,20201216,20201216,S,S,S,S,S,S,S
Campinas,SP,20201215,20201215,S,S,S,S,S,S,S
Campinas,SP,20201214,20201214,S,S,S,S,S,S,S
Campinas,SP,20201211,20201211,S,S,S,S,S,S,S
Campinas,SP,20201210,20201210,S,S,S,S,S,S,S
Campinas,SP,20201209,20201209,S,S,S,S,S,S,S
Campinas,SP,20201208,20201208,S,S,S,S,S,S,S
Campinas,SP,20201207,20201207,S,S,S,S,S,S,S
Campinas,SP,20201204,20201204,S,S,S,S,S,S,S
Campinas,SP,20201203,20201203,S,S,S,S,S,S,S
Campinas,SP,20201202,20201202,S,S,S,S,S,S,S
Campinas,SP,20201201,20201201,S,S,S,S,S,S,S
Campinas,SP,20201127,20201127,S,S,S,S,S,S,S
Campinas,SP,20201126,20201126,S,S,S,S,S,S,S
Campinas,SP,20201125,20201125,S,S,S,S,S,S,S
Campinas,SP,20201124,20201124,S,S,S,S,S,S,S
Campinas,SP,20201123,20201123,S,S,S,S,S,S,S
Campinas,SP,20201120,20201120,S,S,S,S,S,S,S
Campinas,SP,20201119,20201119,S,S,S,S,S,S,S
Campinas,SP,20201118,20201118,S,S,S,S,S,S,S
Campinas,SP,20201117,20201117,S,S,S,S,S,S,S
Campinas,SP,20201116,20201116,S,S,S,S,S,S,S
Campinas,SP,20201113,20201113,S,S,S,S,S,S,S
Campinas,SP,20201112,20201112,S,S,S,S,S,S,S
Campinas,SP,20201111,20201111,S,S,S,S,S,S,S
Campinas,SP,20201110,20201110,S,S,S,S,S,S,S
Campinas,SP,20210401,20210630,S,S,S,S,S,S,S
Campinas,SP,20210101,20210331,S,S,S,S,S,S,S
São José dos Campos,SP,20220701,99991231,S,S,S,S,S,S,S
São José dos Campos,SP,20191001,20200930,S,S,S,S,S,S,S
São José dos Campos,SP,20201101,20220410,S,S,S,S,S,S,S
São Paulo,SP,20210507,20210507,S,S,S,S,S,S,S
São Paulo,SP,20210505,20210505,S,S,S,S,S,S,S
São Paulo,SP,20210504,20210504,S,S,S,S,S,S,S
São Paulo,SP,20210503,20210503,S,S,S,S,S,S,S
São Paulo,SP,20210429,20210429,S,S,S,S,S,S,S
São Paulo,SP,20210428,20210428,S,S,S,S,S,S,S
São Paulo,SP,20210427,20210427,S,S,S,S,S,S,S
São Paulo,SP,20210426,20210426,S,S,S,S,S,S,S
São Paulo,SP,20210422,20210422,S,S,S,S,S,S,S
São Paulo,SP,20210420,20210420,S,S,S,S,S,S,S
São Paulo,SP,20210419,20210419,S,S,S,S,S,S,S
São Paulo,SP,20210226,20210226,S,S,S,S,S,S,S
São Paulo,SP,20210224,20210224,S,S,S,S,S,S,S
São Paulo,SP,20210222,20210222,S,S,S,S,S,S,S
São Paulo,SP,20210218,20210218,S,S,S,S,S,S,S
São Paulo,SP,20210217,20210217,S,S,S,S,S,S,S
São Paulo,SP,20210210,20210210,S,S,S,S,S,S,S
São Paulo,SP,20210209,20210209,S,S,S,S,S,S,S
São Paulo,SP,20210205,20210205,S,S,S,S,S,S,S
São Paulo,SP,20210204,20210204,S,S,S,S,S,S,S
São Paulo,SP,20210203,20210203,S,S,S,S,S,S,S
São Paulo,SP,20210202,20210202,S,S,S,S,S,S,S
São Paulo,SP,20210201,20210201,S,S,S,S,S,S,S
São Paulo,SP,20210129,20210129,S,S,S,S,S,S,S
São Paulo,SP,20210128,20210128,S,S,S,S,S,S,S
São Paulo,SP,20210126,20210126,S,S,S,S,S,S,S
São Paulo,SP,20210125,20210125,S,S,S,S,S,S,S
São Paulo,SP,20210119,20210119,S,S,S,S,S,S,S
São Paulo,SP,20210112,20210112,S,S,S,S,S,S,S
São Paulo,SP,20210111,20210111,S,S,S,S,S,S,S
São Paulo,SP,20210108,20210108,S,S,S,S,S,S,S
São Paulo,SP,20210107,20210107,S,S,S,S,S,S,S
São Paulo,SP,20210106,20210106,S,S,S,S,S,S,S
São Paulo,SP,20201231,20201231,S,S,S,S,S,S,S
São Paulo,SP,20201230,20201230,S,S,S,S,S,S,S
São Paulo,SP,20201229,20201229,S,S,S,S,S,S,S
São Paulo,SP,20201221,20201221,S,S,S,S,S,S,S
São Paulo,SP,20201228,20201228,S,S,S,S,S,S,S
São Paulo,SP,20200320,20200907,S,S,S,S,S,S,S
São Paulo,SP,20220617,99991231,S,S,S,S,S,S,S
São Paulo,SP,20190401,20200319,S,S,S,S,S,S,S
São Paulo,SP,20200320,20220616,S,S,S,S,S,S,S
Diadema,SP,20211101,20211126,S,S,S,S,S,S,S
Diadema,SP,20210901,20211031,S,S,S,S,S,S,S
Diadema,SP,20210401,20210731,S,S,S,S,S,S,S
Diadema,SP,20201231,20201231,S,S,S,S,S,S,S
Diadema,SP,20201230,20201230,S,S,S,S,S,S,S
Diadema,SP,20201229,20201229,S,S,S,S,S,S,S
Diadema,SP,20201228,20201228,S,S,S,S,S,S,S
Diadema,SP,20201224,20201224,S,S,S,S,S,S,S
Diadema,SP,20201223,20201223,S,S,S,S,S,S,S
Diadema,SP,20201222,20201222,S,S,S,S,S,S,S
Diadema,SP,20201221,20201221,S,S,S,S,S,S,S
Diadema,SP,20201218,20201218,S,S,S,S,S,S,S
Diadema,SP,20201217,20201217,S,S,S,S,S,S,S
Diadema,SP,20201216,20201216,S,S,S,S,S,S,S
Diadema,SP,20201215,20201215,S,S,S,S,S,S,S
Diadema,SP,20201214,20201214,S,S,S,S,S,S,S
Diadema,SP,20201211,20201211,S,S,S,S,S,S,S
Diadema,SP,20201210,20201210,S,S,S,S,S,S,S
Diadema,SP,20201209,20201209,S,S,S,S,S,S,S
Diadema,SP,20201208,20201208,S,S,S,S,S,S,S
Diadema,SP,20201207,20201207,S,S,S,S,S,S,S
Diadema,SP,20201204,20201204,S,S,S,S,S,S,S
Diadema,SP,20201203,20201203,S,S,S,S,S,S,S
Diadema,SP,20201202,20201202,S,S,S,S,S,S,S
Diadema,SP,20201201,20201201,S,S,S,S,S,S,S
Diadema,SP,20201130,20201130,S,S,S,S,S,S,S
Diadema,SP,20201127,20201127,S,S,S,S,S,S,S
Diadema,SP,20201126,20201126,S,S,S,S,S,S,S
Diadema,SP,20201125,20201125,S,S,S,S,S,S,S
